"ML"|No |"82717946"|"152955643"
"SC-SM"|Yes|"82717945"|"152955648"
"GC"|No |"82717945"|"152955644"
"GM"|No |"82717945"|"152955645"
"SC"|No |"82717945"|"152955646"
"SM"|No |"82717945"|"152955647"
"CL"|No |"82717944"|"152955649"
"GC"|No |"82717944"|"152955650"
"GM"|No |"82717944"|"152955651"
"ML"|Yes|"82717944"|"152955652"
"CL-ML"|Yes|"82717943"|"152955653"
"ML"|No |"82717943"|"152955654"
"SC"|No |"82717943"|"152955655"
"SM"|No |"82717943"|"152955656"
"CL"|No |"82717926"|"152955706"
"GC"|Yes|"82717926"|"152955710"
"GM"|No |"82717926"|"152955707"
"ML"|No |"82717926"|"152955708"
"SM"|No |"82717926"|"152955709"
"CL-ML"|No |"82717925"|"152955712"
"CL"|Yes|"82717925"|"152955711"
"ML"|No |"82717925"|"152955713"
"GC-GM"|No |"82717923"|"152955714"
"SC-SM"|No |"82717923"|"152955716"
"GM"|No |"82717923"|"152955715"
"SM"|Yes|"82717923"|"152955717"
"CL-ML"|No |"82717922"|"152955718"
"GM"|No |"82717922"|"152955719"
"ML"|No |"82717922"|"152955720"
"SM"|Yes|"82717922"|"152955721"
"ML"|Yes|"82717921"|"152955722"
"SM"|No |"82717921"|"152955723"
"CL-ML"|No |"82717920"|"152955725"
"CL"|No |"82717920"|"152955724"
"GC"|No |"82717920"|"152955726"
"SC"|Yes|"82717920"|"152955727"
"CL-ML"|No |"82717919"|"152955729"
"CL"|Yes|"82717919"|"152955728"
"GC"|No |"82717919"|"152955730"
"SC"|No |"82717919"|"152955731"
"CL"|No |"82717918"|"152955732"
"ML"|Yes|"82717918"|"152955733"
"SC"|No |"82717918"|"152955734"
"SM"|No |"82717918"|"152955735"
"CH"|No |"82717917"|"152955736"
"MH"|Yes|"82717917"|"152955737"
"CH"|No |"82717916"|"152955738"
"MH"|Yes|"82717916"|"152955739"
"MH"|Yes|"82717915"|"152955740"
"ML"|No |"82717915"|"152955741"
"SC-SM"|Yes|"82717914"|"152955746"
"GC"|No |"82717914"|"152955742"
"GM"|No |"82717914"|"152955743"
"SC"|No |"82717914"|"152955744"
"SM"|No |"82717914"|"152955745"
"CL"|No |"82717913"|"152955747"
"GC"|No |"82717913"|"152955748"
"GM"|No |"82717913"|"152955749"
"ML"|Yes|"82717913"|"152955750"
"CL-ML"|Yes|"82717912"|"152955751"
"ML"|No |"82717912"|"152955752"
"SC"|No |"82717912"|"152955753"
"SM"|No |"82717912"|"152955754"
"CL"|No |"82717911"|"152954445"
"GC"|Yes|"82717911"|"152954449"
"GM"|No |"82717911"|"152954446"
"ML"|No |"82717911"|"152954447"
"SM"|No |"82717911"|"152954448"
"CL-ML"|No |"82717910"|"152954559"
"CL"|Yes|"82717910"|"152954558"
"ML"|No |"82717910"|"152954560"
"GC-GM"|No |"82717908"|"152954561"
"SC-SM"|No |"82717908"|"152954563"
"GM"|No |"82717908"|"152954562"
