"ML"|Yes|"82713015"|"152935302"
"CL-ML"|Yes|"82713013"|"152935306"
"CL"|No |"82713013"|"152935305"
"ML"|No |"82713013"|"152935307"
"SM"|Yes|"82713011"|"152935309"
"SM"|Yes|"82713012"|"152935308"
"SM"|Yes|"82712924"|"152935510"
"SM"|Yes|"82712923"|"152935511"
"SW-SM"|Yes|"82712925"|"152935509"
"SM"|No |"82712925"|"152935507"
"SP"|No |"82712925"|"152935508"
"SP-SM"|No |"82712921"|"152935515"
"SM"|Yes|"82712921"|"152935514"
"SP-SM"|No |"82712920"|"152935517"
"SM"|Yes|"82712920"|"152935516"
"SP-SM"|No |"82712922"|"152935513"
"SM"|Yes|"82712922"|"152935512"
"CL-ML"|No |"82712919"|"152935518"
"SC-SM"|No |"82712919"|"152935520"
"ML"|Yes|"82712919"|"152935519"
"SM"|No |"82712919"|"152935521"
"CL-ML"|No |"82712918"|"152935523"
"ML"|Yes|"82712918"|"152935522"
"ML"|Yes|"82712917"|"152935524"
"SP-SM"|Yes|"82712915"|"152935530"
"SW-SM"|No |"82712915"|"152935531"
"GM"|No |"82712915"|"152935528"
"SM"|No |"82712915"|"152935529"
"SM"|Yes|"82712914"|"152935532"
"SP"|No |"82712914"|"152935533"
"GP"|Yes|"82712916"|"152935525"
"GW"|No |"82712916"|"152935526"
"SW"|No |"82712916"|"152935527"
"GP-GM"|No |"82712913"|"152935535"
"SP-SM"|No |"82712913"|"152935537"
"GM"|No |"82712913"|"152935534"
"SM"|Yes|"82712913"|"152935536"
"ML"|No |"82712911"|"152935542"
"SM"|Yes|"82712911"|"152935543"
"ML"|No |"82712910"|"152935544"
"SM"|Yes|"82712910"|"152935545"
"GP-GM"|No |"82712912"|"152935539"
"SP-SM"|No |"82712912"|"152935541"
"GM"|No |"82712912"|"152935538"
"SM"|Yes|"82712912"|"152935540"
"CL-ML"|No |"82713454"|"152936470"
"ML"|No |"82713454"|"152936471"
"SM"|Yes|"82713454"|"152936472"
"CL-ML"|No |"82713455"|"152936473"
"ML"|Yes|"82713455"|"152936474"
"CL-ML"|No |"82713453"|"152936466"
"GM"|No |"82713453"|"152936467"
"ML"|No |"82713453"|"152936468"
"SM"|Yes|"82713453"|"152936469"
"ML"|Yes|"82713471"|"152936519"
"SM"|No |"82713471"|"152936520"
"CL-ML"|No |"82713470"|"152936516"
"ML"|Yes|"82713470"|"152936517"
"SM"|No |"82713470"|"152936518"
"CL-ML"|Yes|"82713472"|"152936521"
"ML"|No |"82713472"|"152936522"
"SC"|No |"82713472"|"152936523"
"SM"|No |"82713472"|"152936524"
"SC-SM"|No |"82713475"|"152936534"
"ML"|Yes|"82713475"|"152936533"
"CL-ML"|No |"82713473"|"152936526"
"SC-SM"|No |"82713473"|"152936528"
"CL"|Yes|"82713473"|"152936525"
"GC"|No |"82713473"|"152936527"
"CL-ML"|No |"82713474"|"152936530"
"CL"|Yes|"82713474"|"152936529"
"GC"|No |"82713474"|"152936531"
"SC"|No |"82713474"|"152936532"
"GM"|No |"82713479"|"152936544"
"ML"|Yes|"82713479"|"152936545"
"SM"|No |"82713479"|"152936546"
"GM"|No |"82713476"|"152936535"
"ML"|Yes|"82713476"|"152936536"
"SM"|No |"82713476"|"152936537"
"GM"|No |"82713477"|"152936538"
"ML"|Yes|"82713477"|"152936539"
"SM"|No |"82713477"|"152936540"
"GM"|No |"82713478"|"152936541"
"ML"|No |"82713478"|"152936542"
"SM"|Yes|"82713478"|"152936543"
"CL-ML"|No |"82713483"|"152936556"
"ML"|Yes|"82713483"|"152936557"
"SM"|No |"82713483"|"152936558"
"CL-ML"|No |"82713481"|"152936551"
"ML"|No |"82713481"|"152936552"
"SM"|Yes|"82713481"|"152936553"
"CL-ML"|No |"82713482"|"152936554"
"ML"|Yes|"82713482"|"152936555"
"CL-ML"|No |"82713480"|"152936547"
"GM"|No |"82713480"|"152936548"
"ML"|No |"82713480"|"152936549"
"SM"|Yes|"82713480"|"152936550"
"SM"|Yes|"82713616"|"152936900"
"SP-SM"|No |"82713617"|"152936902"
"SM"|Yes|"82713617"|"152936901"
"CL-ML"|No |"82713618"|"152936903"
"ML"|Yes|"82713618"|"152936904"
"SM"|No |"82713618"|"152936905"
"ML"|Yes|"82713619"|"152936906"
"CL-ML"|No |"82713620"|"152936907"
"ML"|Yes|"82713620"|"152936908"
"CL-ML"|No |"82713621"|"152936909"
"ML"|Yes|"82713621"|"152936910"
"SW-SM"|Yes|"82713624"|"152936917"
"SM"|No |"82713624"|"152936915"
"SP"|No |"82713624"|"152936916"
"SP-SM"|No |"82713622"|"152936912"
"SM"|Yes|"82713622"|"152936911"
"SP-SM"|No |"82713623"|"152936914"
"SM"|Yes|"82713623"|"152936913"
"SP-SM"|No |"82713626"|"152936924"
"GP"|No |"82713626"|"152936922"
"SP"|Yes|"82713626"|"152936923"
"GM"|No |"82713628"|"152936927"
"GP"|No |"82713628"|"152936928"
"SM"|Yes|"82713628"|"152936929"
"SP"|No |"82713628"|"152936930"
"SP-SM"|No |"82713627"|"152936926"
"SM"|Yes|"82713627"|"152936925"
"GM"|No |"82713625"|"152936919"
"GP"|No |"82713625"|"152936920"
"SM"|Yes|"82713625"|"152936921"
"SP"|No |"82713625"|"152936918"
"SM"|Yes|"82713629"|"152936931"
"SP-SM"|No |"82713630"|"152936933"
"SM"|Yes|"82713630"|"152936932"
"CL-ML"|No |"82713631"|"152936934"
"SC-SM"|No |"82713631"|"152936936"
"ML"|Yes|"82713631"|"152936935"
"SM"|No |"82713631"|"152936937"
"SM"|Yes|"82713632"|"152936938"
"SP-SM"|No |"82713633"|"152936940"
"SM"|Yes|"82713633"|"152936939"
"CL-ML"|No |"82713634"|"152936941"
"ML"|Yes|"82713634"|"152936942"
"SM"|No |"82713634"|"152936943"
"ML"|Yes|"82713635"|"152936944"
"CL-ML"|No |"82713636"|"152936945"
"ML"|Yes|"82713636"|"152936946"
"CL-ML"|No |"82713637"|"152936947"
"ML"|Yes|"82713637"|"152936948"
"SW-SM"|Yes|"82713640"|"152936955"
"SM"|No |"82713640"|"152936953"
"SP"|No |"82713640"|"152936954"
"SP-SM"|No |"82713638"|"152936950"
"SM"|Yes|"82713638"|"152936949"
"SP-SM"|No |"82713639"|"152936952"
"SM"|Yes|"82713639"|"152936951"
"SP-SM"|No |"82713644"|"152936968"
"GP"|No |"82713644"|"152936966"
"SP"|Yes|"82713644"|"152936967"
"GM"|No |"82713642"|"152936958"
"GP"|No |"82713642"|"152936959"
"SM"|Yes|"82713642"|"152936960"
"SP"|No |"82713642"|"152936961"
"SP-SM"|No |"82713641"|"152936957"
"SM"|Yes|"82713641"|"152936956"
"GM"|No |"82713643"|"152936963"
"GP"|No |"82713643"|"152936964"
"SM"|Yes|"82713643"|"152936965"
"SP"|No |"82713643"|"152936962"
